Community,City-Size,Federation Name ,Notes
PHOENIX,3Inter,Jewish Community Association of Greater Phoenix,
PINELLAS COUNTY,5SmallFed,The Jewish Federation of Florida’s Gulf Coast,
PITTSBURGH,1Large,Jewish Federation of  Greater Pittsburgh,
PORTLAND OR,3Inter,Jewish Federation of  Greater Portland,
PRINCETON MERCER BUCKS,3Inter,The Jewish Federation of Princeton Mercer Bucks,
QUAD CITIES,5SmallFed,Jewish Federation of the Quad Cities,
RALEIGH-CARY,5SmallFed,The Jewish Federation of Raleigh Cary  ,
READING,5SmallFed,"Jewish Federation of Reading, PA, Inc.",
RHODE ISLAND,3Inter,Jewish Alliance of Greater Rhode Island,
RICHMOND,3Inter,Jewish Community Federation of Richmond,
ROCHESTER NY,2LrgeInter,Jewish Federation of Greater Rochester,
ROCKFORD,5SmallFed,Jewish Federation of Greater Rockford,
ROCKLAND COUNTY NY,5SmallFed,Jewish Federation of Rockland County,
SACRAMENTO,5SmallFed,Jewish Federation of the Sacramento Region,
SAN ANTONIO,3Inter,Jewish Federation of San Antonio,
SAN DIEGO,2LrgeInter,Jewish Federation of San Diego County,
SAN FRANCISCO,1Large,"Jewish Community Federation of San Francisco, the Peninsula, Marin & Sonoma Counties",
SANTA BARBARA,5SmallFed,Jewish Federation of Greater Santa Barbara,
SARASOTA-MANATEE,3Inter,Jewish Federation of Sarasota-Manatee ,
SAVANNAH,5SmallFed,Savannah Jewish Federation,
SEATTLE,2LrgeInter,Jewish Federation of Greater Seattle,
SILICON VALLEY,3Inter,Jewish Federation of Silicon Valley,
SIOUX CITY,5SmallFed,Jewish Federation of Sioux City,
SOMERSET COUNTY,5SmallFed,"Jewish Federation of Somerset, Hunterdon & Warren Counties",
SOUTH PALM BEACH COUNTY,1Large,Jewish Federation of South Palm Beach County,
SOUTHERN AZ,3Inter,Jewish Federation of Southern Arizona (Tucson),
SOUTHERN IL,5SmallFed,"Jewish Federation of Southern Illinois, Southeastern Missouri and Western Kentucky",
SOUTHERN ME,5SmallFed,Jewish Community Alliance of Southern Maine,
SOUTHERN NJ,3Inter,Jewish Federation of Southern New Jersey,
SPRINGFIELD IL,5SmallFed,"Jewish Federation of Springfield, Illinois ",
ST JOSEPH VALLEY,5SmallFed,Jewish Federation of St. Joseph Valley,
ST LOUIS,2LrgeInter,Jewish Federation of St. Louis,
ST PAUL,3Inter,Jewish Federatin of  Greater St. Paul,
STAMFORD CT,3Inter,"United Jewish Federation of  Greater Stamford, New Canaan & Darien",
TAMPA,3Inter,Tampa Jewish Community Centers & Federation,
TIDEWATER,3Inter,United Jewish Federation of Tidewater,
TOLEDO,5SmallFed,Jewish Federation of Greater Toledo,
TORONTO ON,1Large,UJA Federation of Greater Toronto,
TULSA,5SmallFed,Jewish Federation of Tulsa,
UTAH,5SmallFed,United Jewish Federation of Utah,
VANCOUVER BC,2LrgeInter,Jewish Federation of Greater Vancouver ,
VENTURA,5SmallFed,Jewish Federation of Ventura County ,
VIRGINIA PENINSULA,5SmallFed,United Jewish Community of the Virginia Peninsula,
VOLUSIA & FLAGLER COUNTIES,5SmallFed,Jewish Federation of Volusia & Flagler Counties,
WASHINGTON DC,1Large,The Jewish Federation of Greater Washington ,
WESTERN CT,5SmallFed,The  Jewish Federation of Western Connecticut,
WESTERN MA,3Inter,The Jewish Federation of Western Massachusetts,
WILKES-BARRE,5SmallFed,Jewish Community Alliance of Northeastern Pennsylvania,
WINDSOR ON,5SmallFed,Windsor Jewish Federation,
WINNIPEG MB,3Inter,Jewish Federation of Winnipeg ,
YOUNGSTOWN,5SmallFed,Youngstown Area Jewish Federation,
